tempo,abertura,alto,baixo,fechamento,volume,Dividends,Stock Splits,moeda,mercado
2024-08-16 00:00:00-04:00,531.3930689263692,533.1513402444934,524.1599181711334,526.9172973632812,14776700,0.0,0.0,META,EUA
2024-08-19 00:00:00-04:00,526.3678365487594,531.1532492591724,522.261768414688,528.7755737304688,9879700,0.0,0.0,META,EUA
2024-08-20 00:00:00-04:00,527.8464174459085,530.5838572359572,525.3788008147258,526.2279663085938,7944400,0.0,0.0,META,EUA
2024-08-21 00:00:00-04:00,526.6475880425513,538.8859123425306,526.4277660205616,534.64990234375,13423300,0.0,0.0,META,EUA
2024-08-22 00:00:00-04:00,536.4882100014216,543.7112999083582,528.0862520154448,531.4230346679688,15708300,0.0,0.0,META,EUA
2024-08-23 00:00:00-04:00,536.408246443882,539.3554470050996,524.5595648008554,527.4967651367188,11323900,0.0,0.0,META,EUA
2024-08-26 00:00:00-04:00,527.0971569027819,527.4968000815176,514.459249320355,520.6233520507812,9584000,0.0,0.0,META,EUA
2024-08-27 00:00:00-04:00,518.4853438587916,523.51057906585,514.8188587866515,518.605224609375,6282700,0.0,0.0,META,EUA
2024-08-28 00:00:00-04:00,517.1765809660636,520.5933651969109,511.96158552474253,516.2874755859375,9106100,0.0,0.0,META,EUA
2024-08-29 00:00:00-04:00,518.5553002496886,526.6975571738178,515.1885169514869,517.72607421875,8317400,0.0,0.0,META,EUA
2024-08-30 00:00:00-04:00,520.8531113136416,523.0410266081785,514.7090090591662,520.8131713867188,9157500,0.0,0.0,META,EUA
2024-09-03 00:00:00-04:00,519.1447417032381,524.9891416318818,508.13522543843317,511.2722473144531,12459100,0.0,0.0,META,EUA
2024-09-04 00:00:00-04:00,505.58765619712113,516.0976487692458,503.5895624595754,512.2512817382812,8335200,0.0,0.0,META,EUA
2024-09-05 00:00:00-04:00,511.2322853486745,521.1328438726881,510.6628212934672,516.3673706054688,8640900,0.0,0.0,META,EUA
2024-09-06 00:00:00-04:00,521.3826017656914,524.08004059479,497.7751186081344,499.7931823730469,14744500,0.0,0.0,META,EUA
2024-09-09 00:00:00-04:00,505.67758831619545,510.8426437744078,501.601459844262,504.30889892578125,11047800,0.0,0.0,META,EUA
2024-09-10 00:00:00-04:00,507.6756821389297,513.6899335695025,499.5534258713563,504.30889892578125,9899000,0.0,0.0,META,EUA
2024-09-11 00:00:00-04:00,506.5267801834282,512.6309421279341,495.12765135849423,511.3421630859375,10782500,0.0,0.0,META,EUA
2024-09-12 00:00:00-04:00,516.5572207090098,526.2080485315054,514.7289476907379,525.0990600585938,11993300,0.0,0.0,META,EUA
2024-09-13 00:00:00-04:00,519.8441059682566,527.0771959793254,516.6171429226001,524.1199951171875,10321400,0.0,0.0,META,EUA
2024-09-16 00:00:00-04:00,524.5399780273438,534.0999755859375,517.4000244140625,533.280029296875,9527600,0.5,0.0,META,EUA
2024-09-17 00:00:00-04:00,537.5999755859375,542.0999755859375,530.5700073242188,536.3200073242188,11690800,0.0,0.0,META,EUA
2024-09-18 00:00:00-04:00,537.0700073242188,544.2000122070312,533.9000244140625,537.9500122070312,10323500,0.0,0.0,META,EUA
2024-09-19 00:00:00-04:00,550.0,562.0700073242188,546.52001953125,559.0999755859375,15647000,0.0,0.0,META,EUA
2024-09-20 00:00:00-04:00,560.0,564.5,556.2999877929688,561.3499755859375,22066800,0.0,0.0,META,EUA
2024-09-23 00:00:00-04:00,569.5,573.97998046875,562.4099731445312,564.4099731445312,12830700,0.0,0.0,META,EUA
2024-09-24 00:00:00-04:00,566.6799926757812,567.75,554.1900024414062,563.3300170898438,12993000,0.0,0.0,META,EUA
